HOTEL_NAME,ADDRESS,COMMUNITY,Parish,Longitude,Latitude
Georgianna,Arawak P.O.,Mammee Bay,St. Ann,-77.9371013,18.41176228
Heaven Can Wait,Arawak P.O.,Mammee Bay,St. Ann,-77.92272143,18.47423057
Kima,"10a Mammee Bay, Arawak P.O.",Mammee Bay,St. Ann,-77.86496432,18.51702788
Laurenita Villa,Pratt Cresent,Mammee Bay,St. Ann,-77.85562376,18.51594544
Living Waters,Arawak P.O.,Mammee Bay,St. Ann,-77.84753866,"18.026780489,"
Mermaid Villa,St. Ann's Bay P.O.,Mammee Bay,St. Ann,-77.73694052,17.88979508
Nashville Villa,"Mammee Beach Rd, Arawak P.O B",Mammee Bay,St. Ann,-77.53980376,18.48126152
Ocean Front Resorts,"Lot 11 Mammee Bay, P.O. Box 3",Mammee Bay,St. Ann,-77.53359016,18.48457005
Riviera,"c/o 47 Hope Road, Kgn. 6",Mammee Bay,St. Ann,-77.34291286,18.46299804
Seven Seven,Arawak,Mammee Bay,St. Ann,-77.16233291,18.42705028
Shoe String,"67 Kenmey Road, Arawak P.O.",Mammee Bay,St. Ann,-77.15589892,18.42306884
Silver Palms Guest Ho,"Old Fort Bay, Arawak P.O.",Mammee Bay,St. Ann,-77.1247645,18.41206846
Terra Nova,Arawak P.O.,Mammee Bay,St. Ann,-77.09215451,18.41244882
Xanadu,"c/o 7 DaCosta Drive, Ocho Rio",Mammee Bay,St. Ann,-76.7815191,"18.018512342,"
Cecelia Villa,124 Seaview Drive,Mansfield,St. Ann,-78.33729508,18.30293206
After Glow,"Coconut Grove, P.O. Box 83",Ocho Rios,St. Ann,-78.36726463,18.27077001
Beaches Grande Sport,Main Street Ocho Rios,Ocho Rios,St. Ann,-78.36037344,18.24775033
Beaches Royal Plantat,Main St. P.O. Box 2 Ocho Rios,Ocho Rios,St. Ann,-78.35951595,"18.248423102,"
Carib Ocho Rios Apts,"Carib Ocho Rios, P.O. Box  32",Ocho Rios,St. Ann,-78.33927888,18.29555071
Carleen's by the  Sea,85 Main Street,Ocho Rios,St. Ann,-78.33838639,18.29787569
Clearwater Villa,Coconut Grove Main Street,Ocho Rios,St. Ann,-78.2737926,18.38827268
Couples Ocho Rios,Tower Isle Ocho Rios P.O. Box,Ocho Rios,St. Ann,-78.06120085,18.44447722
Crystal Ripple Beach,White River Bay P.O. Box 24,Ocho Rios,St. Ann,-78.05970028,18.44540838
Golden Sands 1-3,"Old Road, P.O. Box 22",Ocho Rios,St. Ann,-77.92814059,18.4802796
Hibiscus Lodge Hotel,83 Main Street P.O. Box 52,Ocho Rios,St. Ann,-77.92037043,18.47288915
Hide Away 1 & 2,Coconut Grove,Ocho Rios,St. Ann,-77.91940556,18.47582374
Jamaica Grande,P.O Box 100 Ocho Rios,Ocho Rios,St. Ann,-77.87421588,18.50299084
Jamaica Inn Hotel,P.O. Box 1 Ocho Rios P.O.,Ocho Rios,St. Ann,-77.8732642,18.50390742
Jerico Villa,7 Dacosta Drive,Ocho Rios,St. Ann,-77.86863883,18.50267195
Karori Villa,Ridge Estate,Ocho Rios,St. Ann,-77.86687572,18.51935532
La Peniciona Guest Ho,"3 Short Lane, Och Rios P.O.",Ocho Rios,St. Ann,-77.85714762,18.51668738
Little Shaw Park Gues,"21 Shaw Park Road, Ocho Rios",Ocho Rios,St. Ann,-77.8486614,18.51803545
Marine View Hotel,9 James Avenue,Ocho Rios,St. Ann,-77.76137616,17.87857221
